ATM_ID,Predicted_Demand,Current_Cash_Level,Required_Cash,Recommended_Refill,Risk_Level,Priority_Rank
ATM_0041,50164.0,64811,57689.0,0.0,Low Risk,3952.5
ATM_0007,58832.0,60399,67657.0,7258.0,Low Risk,1870.0
ATM_0014,33149.0,60486,38122.0,0.0,Low Risk,3952.5
ATM_0029,42612.0,47115,49003.0,1888.0,Low Risk,2135.5
ATM_0028,34181.0,95871,39308.0,0.0,Low Risk,3952.5
ATM_0006,46387.0,62883,57984.0,0.0,Low Risk,3952.5
ATM_0047,34140.0,55516,39261.0,0.0,Low Risk,3952.5
ATM_0040,68251.0,11911,78488.0,66577.0,High Risk,140.0
ATM_0006,21268.0,95676,24459.0,0.0,Low Risk,3952.5
ATM_0024,45209.0,50828,51990.0,1162.0,Low Risk,2182.0
ATM_0041,31537.0,79067,36267.0,0.0,Low Risk,3952.5
ATM_0045,17775.0,95294,20441.0,0.0,Low Risk,3952.5
ATM_0003,55143.0,32407,63414.0,31007.0,Medium Risk,835.0
ATM_0042,39497.0,58529,45422.0,0.0,Low Risk,3952.5
ATM_0048,49769.0,53153,57234.0,4081.0,Low Risk,2020.0
ATM_0015,56585.0,77514,65072.0,0.0,Low Risk,3952.5
ATM_0041,-60.0,105146,-69.0,0.0,Low Risk,3952.5
ATM_0030,38253.0,70529,43991.0,0.0,Low Risk,3952.5
ATM_0047,32184.0,87927,37012.0,0.0,Low Risk,3952.5
ATM_0030,46368.0,74926,53323.0,0.0,Low Risk,3952.5
ATM_0020,32840.0,61049,37766.0,0.0,Low Risk,3952.5
ATM_0050,19488.0,77286,22412.0,0.0,Low Risk,3952.5
ATM_0024,40859.0,57903,46987.0,0.0,Low Risk,3952.5
ATM_0047,47190.0,53738,54268.0,530.0,Low Risk,2217.0
ATM_0031,14009.0,89853,16111.0,0.0,Low Risk,3952.5
ATM_0035,80795.0,28120,92914.0,64794.0,High Risk,160.0
ATM_0034,56934.0,62437,65474.0,3037.0,Low Risk,2072.0
ATM_0038,25761.0,120384,29625.0,0.0,Low Risk,3952.5
ATM_0041,37894.0,74020,49262.0,0.0,Low Risk,3952.5
ATM_0033,40550.0,61170,46632.0,0.0,Low Risk,3952.5
