ATM_ID,Date,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Year,Month,Day,Quarter,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Location_Type_Gas Station,Location_Type_Mall,Location_Type_Standalone,Location_Type_Supermarket,Weather_Condition_Cloudy,Weather_Condition_Rainy,Weather_Condition_Snowy,Predicted_Demand,Safety_Buffer_Percentage,Current_Cash_Level,Cash_Shortage,Safety_Buffer_Amount,Required_Cash,Recommended_Refill,Risk_Level,Priority_Rank
ATM_0041,2022-04-25,57450,9308,0,0,112953,5,44165,2022,4,25,2,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,50164.0,0.15,64811,0,7525.0,57689.0,0.0,Low Risk,3952.5
ATM_0007,2023-11-24,72845,17896,0,0,115348,0,41249,2023,11,24,4,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,58832.0,0.15,60399,0,8825.0,67657.0,7258.0,Low Risk,1870.0
ATM_0014,2022-08-27,42957,12712,0,0,90731,1,29901,2022,8,27,3,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,33149.0,0.15,60486,0,4972.0,38122.0,0.0,Low Risk,3952.5
ATM_0029,2023-08-27,43014,1375,0,0,88754,5,44155,2023,8,27,3,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,42612.0,0.15,47115,0,6392.0,49003.0,1888.0,Low Risk,2135.5
ATM_0028,2022-12-15,36379,2938,0,0,129312,0,29784,2022,12,15,4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,34181.0,0.15,95871,0,5127.0,39308.0,0.0,Low Risk,3952.5
ATM_0006,2023-01-25,46613,7278,1,0,102218,0,49358,2023,1,25,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,46387.0,0.25,62883,0,11597.0,57984.0,0.0,Low Risk,3952.5
ATM_0047,2023-04-16,40990,8541,0,0,87965,5,28407,2023,4,16,2,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,34140.0,0.15,55516,0,5121.0,39261.0,0.0,Low Risk,3952.5
ATM_0040,2023-01-06,77784,14112,0,0,75583,2,61200,2023,1,6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,68251.0,0.15,11911,0,10238.0,78488.0,66577.0,High Risk,140.0
ATM_0006,2022-08-27,30077,10984,0,0,114769,1,18557,2022,8,27,3,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,21268.0,0.15,95676,0,3190.0,24459.0,0.0,Low Risk,3952.5
ATM_0024,2022-12-30,52570,9421,0,0,93977,4,44240,2022,12,30,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,45209.0,0.15,50828,0,6781.0,51990.0,1162.0,Low Risk,2182.0
ATM_0041,2022-06-25,43090,15285,0,0,106872,5,23127,2022,6,25,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,31537.0,0.15,79067,0,4731.0,36267.0,0.0,Low Risk,3952.5
ATM_0045,2023-07-25,23554,6615,0,0,112233,1,12890,2023,7,25,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,17775.0,0.15,95294,0,2666.0,20441.0,0.0,Low Risk,3952.5
ATM_0003,2022-11-20,65464,14656,0,0,83215,1,63076,2022,11,20,4,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,55143.0,0.15,32407,0,8271.0,63414.0,31007.0,Medium Risk,835.0
ATM_0042,2023-05-27,45361,7604,0,0,96286,1,36893,2023,5,27,2,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,39497.0,0.15,58529,0,5925.0,45422.0,0.0,Low Risk,3952.5
ATM_0048,2023-07-29,62187,16781,0,0,98559,2,38349,2023,7,29,3,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,49769.0,0.15,53153,0,7465.0,57234.0,4081.0,Low Risk,2020.0
ATM_0015,2022-05-22,65052,11806,0,0,130760,1,63284,2022,5,22,2,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,56585.0,0.15,77514,0,8488.0,65072.0,0.0,Low Risk,3952.5
ATM_0041,2022-06-13,10703,14109,0,0,101740,4,0,2022,6,13,2,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,-60.0,0.15,105146,0,-9.0,-69.0,0.0,Low Risk,3952.5
ATM_0030,2023-06-26,45514,8901,0,0,107142,5,36069,2023,6,26,2,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,38253.0,0.15,70529,0,5738.0,43991.0,0.0,Low Risk,3952.5
ATM_0047,2022-04-28,37872,7491,0,0,118308,1,38027,2022,4,28,2,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,32184.0,0.15,87927,0,4828.0,37012.0,0.0,Low Risk,3952.5
ATM_0030,2022-01-04,54931,10485,0,0,119372,5,51745,2022,1,4,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,46368.0,0.15,74926,0,6955.0,53323.0,0.0,Low Risk,3952.5
ATM_0020,2023-10-17,39469,8361,0,0,92157,4,36710,2023,10,17,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,32840.0,0.15,61049,0,4926.0,37766.0,0.0,Low Risk,3952.5
ATM_0050,2023-06-28,28047,10025,0,0,95308,0,20994,2023,6,28,2,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,19488.0,0.15,77286,0,2923.0,22412.0,0.0,Low Risk,3952.5
ATM_0024,2022-11-11,44859,5988,0,0,96774,0,40097,2022,11,11,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,40859.0,0.15,57903,0,6129.0,46987.0,0.0,Low Risk,3952.5
ATM_0047,2023-05-13,56060,11287,0,0,98511,5,59365,2023,5,13,2,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,47190.0,0.15,53738,0,7078.0,54268.0,530.0,Low Risk,2217.0
ATM_0031,2023-07-17,21218,9867,0,0,101204,1,11103,2023,7,17,3,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,14009.0,0.15,89853,0,2101.0,16111.0,0.0,Low Risk,3952.5
